Order_ID,Customer_ID,Customer_Name,Country,State,Product_Name,,,,,
CA-2016-152156,CG-12520,Claire Gute,United States,Kentucky,Bush Somerset Collection Bookcase,,,,,
CA-2016-152156,CG-12520,Claire Gute,United States,Kentucky,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",,,,,
CA-2016-138688,DV-13045,Darrin Van Huff,United States,California,Self-Adhesive Address Labels for Typewriters by Universal,,,,,
US-2015-108966,SO-20335,Sean O'Donnell,United States,Florida,Bretford CR4500 Series Slim Rectangular Table,,,,,
US-2015-108966,SO-20335,Sean O'Donnell,United States,Florida,Eldon Fold 'N Roll Cart System,,,,,
CA-2014-115812,BH-11710,Brosina Hoffman,United States,California,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",,,,,
CA-2014-115812,BH-11710,Brosina Hoffman,United States,California,Newell 322,,,,,
CA-2014-115812,BH-11710,Brosina Hoffman,United States,California,Mitel 5320 IP Phone VoIP phone,,,,,
CA-2014-115812,BH-11710,Brosina Hoffman,United States,California,DXL Angle-View Binders with Locking Rings by Samsill,,,,,
CA-2014-115812,BH-11710,Brosina Hoffman,United States,California,Belkin F5C206VTEL 6 Outlet Surge,,,,,
CA-2014-115812,BH-11710,Brosina Hoffman,United States,California,Chromcraft Rectangular Conference Tables,,,,,
CA-2014-115812,BH-11710,Brosina Hoffman,United States,California,Konftel 250 Conference phone - Charcoal black,,,,,
CA-2017-114412,AA-10480,Andrew Allen,United States,North Carolina,Xerox 1967,,,,,
CA-2016-161389,IM-15070,Irene Maddox,United States,Washington,Fellowes PB200 Plastic Comb Binding Machine,,,,,
US-2015-118983,HP-14815,Harold Pawlan,United States,Texas,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",,,,,
US-2015-118983,HP-14815,Harold Pawlan,United States,Texas,Storex DuraTech Recycled Plastic Frosted Binders,,,,,
CA-2014-105893,PK-19075,Pete Kriz,United States,Wisconsin,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",,,,,
CA-2014-167164,AG-10270,Alejandro Grove,United States,Utah,Fellowes Super Stor/Drawer,,,,,
CA-2014-143336,ZD-21925,Zuschuss Donatelli,United States,California,Newell 341,,,,,
CA-2014-143336,ZD-21925,Zuschuss Donatelli,United States,California,Cisco SPA 501G IP Phone,,,,,
CA-2014-143336,ZD-21925,Zuschuss Donatelli,United States,California,"Wilson Jones Hanging View Binder, White, 1""",,,,,
CA-2016-137330,KB-16585,Ken Black,United States,Nebraska,Newell 318,,,,,
CA-2016-137330,KB-16585,Ken Black,United States,Nebraska,"Acco Six-Outlet Power Strip, 4' Cord Length",,,,,
US-2017-156909,SF-20065,Sandra Flanagan,United States,Pennsylvania,"Global Deluxe Stacking Chair, Gray",,,,,
CA-2015-106320,EB-13870,Emily Burns,United States,Utah,Bretford CR4500 Series Slim Rectangular Table,,,,,
CA-2016-121755,EH-13945,Eric Hoffmann,United States,California,Wilson Jones Active Use Binders,,,,,
CA-2016-121755,EH-13945,Eric Hoffmann,United States,California,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,,,,,
US-2015-150630,TB-21520,Tracy Blumstein,United States,Pennsylvania,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",,,,,
US-2015-150630,TB-21520,Tracy Blumstein,United States,Pennsylvania,Avery Recycled Flexi-View Covers for Binding Systems,,,,,
US-2015-150630,TB-21520,Tracy Blumstein,United States,Pennsylvania,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",,,,,
US-2015-150630,TB-21520,Tracy Blumstein,United States,Pennsylvania,Poly String Tie Envelopes,,,,,
US-2015-150630,TB-21520,Tracy Blumstein,United States,Pennsylvania,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",,,,,
US-2015-150630,TB-21520,Tracy Blumstein,United States,Pennsylvania,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",,,,,
US-2015-150630,TB-21520,Tracy Blumstein,United States,Pennsylvania,Lumber Crayons,,,,,
CA-2017-107727,MA-17560,Matt Abelman,United States,Texas,Easy-staple paper,,,,,
CA-2016-117590,GH-14485,Gene Hale,United States,Texas,GE 30524EE4,,,,,
CA-2016-117590,GH-14485,Gene Hale,United States,Texas,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",,,,,
CA-2015-117415,SN-20710,Steve Nguyen,United States,Texas,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",,,,,
CA-2015-117415,SN-20710,Steve Nguyen,United States,Texas,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",,,,,
CA-2015-117415,SN-20710,Steve Nguyen,United States,Texas,"Global Fabric Manager's Chair, Dark Gray",,,,,
CA-2015-117415,SN-20710,Steve Nguyen,United States,Texas,Plantronics HL10 Handset Lifter,,,,,
CA-2017-120999,LC-16930,Linda Cazamias,United States,Illinois,Panasonic Kx-TS550,,,,,
CA-2016-101343,RA-19885,Ruben Ausman,United States,California,"Eldon Base for stackable storage shelf, platinum",,,,,
CA-2017-139619,ES-14080,Erin Smith,United States,Florida,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",,,,,
CA-2016-118255,ON-18715,Odella Nelson,United States,Minnesota,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",,,,,
CA-2016-118255,ON-18715,Odella Nelson,United States,Minnesota,Wilson Jones Leather-Like Binders with DublLock Round Rings,,,,,
CA-2014-146703,PO-18865,Patrick O'Donnell,United States,Michigan,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",,,,,
CA-2016-169194,LH-16900,Lena Hernandez,United States,Delaware,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,,,,,
CA-2016-169194,LH-16900,Lena Hernandez,United States,Delaware,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",,,,,
CA-2015-115742,DP-13000,Darren Powers,United States,Indiana,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",,,,,
CA-2015-115742,DP-13000,Darren Powers,United States,Indiana,Avery 485,,,,,
CA-2015-115742,DP-13000,Darren Powers,United States,Indiana,Longer-Life Soft White Bulbs,,,,,
CA-2015-115742,DP-13000,Darren Powers,United States,Indiana,"Global Leather Task Chair, Black",,,,,
CA-2016-105816,JM-15265,Janet Molinari,United States,New York,Advantus Push Pins,,,,,
CA-2016-105816,JM-15265,Janet Molinari,United States,New York,AT&T CL83451 4-Handset Telephone,,,,,
CA-2016-111682,TB-21055,Ted Butterfield,United States,New York,Home/Office Personal File Carts,,,,,
CA-2016-111682,TB-21055,Ted Butterfield,United States,New York,Xerox 232,,,,,
CA-2016-111682,TB-21055,Ted Butterfield,United States,New York,Novimex Turbo Task Chair,,,,,
CA-2016-111682,TB-21055,Ted Butterfield,United States,New York,"Array Parchment Paper, Assorted Colors",,,,,
CA-2016-111682,TB-21055,Ted Butterfield,United States,New York,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,,,,,
CA-2016-111682,TB-21055,Ted Butterfield,United States,New York,Plastic Binding Combs,,,,,
CA-2016-111682,TB-21055,Ted Butterfield,United States,New York,Prang Dustless Chalk Sticks,,,,,
CA-2015-135545,KM-16720,Kunst Miller,United States,California,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",,,,,
CA-2015-135545,KM-16720,Kunst Miller,United States,California,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",,,,,
CA-2015-135545,KM-16720,Kunst Miller,United States,California,Xerox 1943,,,,,
CA-2015-135545,KM-16720,Kunst Miller,United States,California,Luxo Economy Swing Arm Lamp,,,,,
US-2015-164175,PS-18970,Paul Stevenson,United States,Illinois,"Global Value Mid-Back Manager's Chair, Gray",,,,,
CA-2014-106376,BS-11590,Brendan Sweed,United States,Arizona,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",,,,,
CA-2014-106376,BS-11590,Brendan Sweed,United States,Arizona,netTALK DUO VoIP Telephone Service,,,,,
CA-2016-119823,KD-16270,Karen Daniels,United States,Virginia,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",,,,,
CA-2016-106075,HM-14980,Henry MacAllister,United States,New York,Avery Binding System Hidden Tab Executive Style Index Sets,,,,,
CA-2017-114440,TB-21520,Tracy Blumstein,United States,Michigan,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",,,,,
US-2015-134026,JE-15745,Joel Eaton,United States,Tennessee,High-Back Leather Manager's Chair,,,,,
